Site ID,Ozone,Units,QA Code,Update_Date,Ozone F,Selected Date_Time
San Bernardino,19,PPB,3,9/26/2022 11:45:39 AM,-,7/2/2022 10:00
San Bernardino,18,PPB,3,9/26/2022 11:45:39 AM,-,7/2/2022 8:00
San Bernardino,14,PPB,3,9/26/2022 11:45:39 AM,-,7/2/2022 6:00
San Bernardino,25,PPB,3,9/26/2022 11:45:39 AM,-,7/2/2022 2:00
San Bernardino,29,PPB,3,9/26/2022 11:45:39 AM,-,7/2/2022 0:00
Shasta,63,PPB,3,8/22/2022 11:30:28 AM,-,6/29/2022 3:00:00 PM
San Bernardino,95,PPB,3,8/22/2022 11:30:28 AM,-,6/28/2022 6:00:00 PM
San Bernardino,96,PPB,3,8/22/2022 11:30:28 AM,-,6/28/2022 5:00:00 PM
San Bernardino,86,PPB,3,8/22/2022 11:30:28 AM,-,6/28/2022 4:00:00 PM
Tulare,91,PPB,3,8/22/2022 11:30:28 AM,-,6/27/2022 6:00:00 PM
Tulare,93,PPB,3,8/22/2022 11:30:28 AM,-,6/27/2022 5:00:00 PM
San Benito,3,PPB,3,8/22/2022 11:30:28 AM,-,6/25/2022 1:00:00 AM
San Benito,1,PPB,3,8/22/2022 11:30:28 AM,-,6/23/2022 4:00:00 AM
Shasta,67,PPB,3,8/22/2022 11:30:28 AM,-,6/22/2022 5:00:00 PM
Shasta,15,PPB,3,8/22/2022 11:30:28 AM,-,6/19/2022 4:00:00 AM
San Bernardino,93,PPB,3,8/22/2022 11:30:28 AM,-,6/16/2022 5:00:00 PM
San Bernardino,89,PPB,3,8/22/2022 11:30:28 AM,-,6/16/2022 4:00:00 PM
San Bernardino,24,PPB,3,8/22/2022 11:30:28 AM,-,6/13/2022 4:00:00 AM
Shasta,14,PPB,3,8/22/2022 11:30:28 AM,-,6/13/2022 4:00:00 AM
San Bernardino,30,PPB,3,8/22/2022 11:30:28 AM,-,6/13/2022 1:00:00 AM
Tulare,18,PPB,3,8/22/2022 11:30:28 AM,-,6/13/2022 1:00:00 AM
Tulare,88,PPB,3,8/22/2022 11:30:28 AM,-,6/10/2022 17:00
Shasta,11,PPB,3,8/22/2022 11:30:28 AM,-,6/10/2022 6:00
Inyo,73,PPB,3,8/22/2022 11:30:28 AM,-,6/8/2022 16:00
Tulare,12,PPB,3,8/22/2022 11:30:28 AM,-,6/6/2022 5:00
San Bernardino,35,PPB,3,8/22/2022 11:30:28 AM,-,6/4/2022 1:00
Tulare,23,PPB,3,8/22/2022 11:30:28 AM,-,6/4/2022 1:00
Mariposa,17,PPB,3,8/22/2022 11:30:28 AM,-,6/3/2022 6:00
Inyo,72,PPB,3,8/22/2022 11:30:28 AM,-,6/2/2022 15:00
Mariposa,72,PPB,3,7/28/2022 9:54:12 AM,-,5/26/2022 2:00:00 PM
Mariposa,70,PPB,3,7/28/2022 9:54:12 AM,-,5/26/2022 1:00:00 PM
Mariposa,67,PPB,3,7/28/2022 9:54:12 AM,-,5/26/2022 12:00:00 PM
San Benito,65,PPB,3,7/28/2022 9:54:12 AM,-,5/26/2022 11:00:00 AM
Inyo,70,PPB,3,7/28/2022 9:54:12 AM,-,5/26/2022 10:00:00 AM
Inyo,69,PPB,3,7/28/2022 9:54:12 AM,-,5/26/2022 9:00:00 AM
Inyo,68,PPB,3,7/28/2022 9:54:12 AM,-,5/26/2022 8:00:00 AM
Mariposa,74,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 10:00:00 PM
San Bernardino,80,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 9:00:00 PM
Mariposa,76,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 9:00:00 PM
Mariposa,80,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 8:00:00 PM
Mariposa,82,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 7:00:00 PM
Mariposa,84,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 6:00:00 PM
Mariposa,89,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 5:00:00 PM
Mariposa,90,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 4:00:00 PM
Tulare,80,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 3:00:00 PM
Mariposa,78,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 3:00:00 PM
Tulare,76,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 2:00:00 PM
Mariposa,73,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 2:00:00 PM
Mariposa,69,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 1:00:00 PM
San Benito,62,PPB,3,7/28/2022 9:54:12 AM,-,5/25/2022 12:00:00 PM
San Benito,75,PPB,3,7/28/2022 9:54:12 AM,-,5/24/2022 7:00:00 PM
San Benito,79,PPB,3,7/28/2022 9:54:12 AM,-,5/24/2022 6:00:00 PM
San Benito,76,PPB,3,7/28/2022 9:54:12 AM,-,5/24/2022 5:00:00 PM
San Bernardino,84,PPB,3,7/28/2022 9:54:12 AM,-,5/23/2022 5:00:00 PM
San Bernardino,83,PPB,3,7/28/2022 9:54:12 AM,-,5/18/2022 10:00:00 PM
San Benito,68,PPB,3,7/28/2022 9:54:12 AM,-,5/18/2022 6:00:00 PM
San Benito,69,PPB,3,7/28/2022 9:54:12 AM,-,5/18/2022 5:00:00 PM
Tulare,72,PPB,3,7/28/2022 9:54:12 AM,-,5/18/2022 5:00:00 PM
San Benito,9,PPB,3,7/28/2022 9:54:12 AM,-,5/17/2022 5:00:00 AM
Inyo,37,PPB,3,7/28/2022 9:54:12 AM,-,5/14/2022 7:00:00 AM
Inyo,39,PPB,3,7/28/2022 9:54:12 AM,-,5/14/2022 6:00:00 AM
San Bernardino,38,PPB,3,7/28/2022 9:54:12 AM,-,5/8/2022 23:00
Tulare,19,PPB,3,7/28/2022 9:54:12 AM,-,5/7/2022 5:00
Tulare,79,PPB,3,7/28/2022 9:54:12 AM,-,5/5/2022 17:00
Tulare,74,PPB,3,7/28/2022 9:54:12 AM,-,5/5/2022 16:00
Inyo,40,PPB,3,7/28/2022 9:54:12 AM,-,5/3/2022 22:00
Tulare,21,PPB,3,7/28/2022 9:54:12 AM,-,5/3/2022 4:00
Inyo,67,PPB,3,5/24/2024 10:39:41 AM,-,4/30/2022 8:00:00 PM
San Bernardino,84,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 7:00:00 PM
San Bernardino,91,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 6:00:00 PM
San Benito,30,PPB,3,5/24/2024 10:39:41 AM,-,4/30/2022 6:00:00 PM
Inyo,68,PPB,3,5/24/2024 10:39:41 AM,-,4/30/2022 5:00:00 PM
San Bernardino,92,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 5:00:00 PM
San Bernardino,89,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 4:00:00 PM
Tulare,68,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 4:00:00 PM
San Bernardino,82,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 3:00:00 PM
Tulare,67,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 3:00:00 PM
San Bernardino,77,PPB,3,6/28/2022 3:11:51 PM,-,4/30/2022 2:00:00 PM
San Benito,26,PPB,3,5/24/2024 10:39:41 AM,-,4/30/2022 5:00:00 AM
San Benito,28,PPB,3,5/24/2024 10:39:41 AM,-,4/30/2022 2:00:00 AM
San Benito,60,PPB,3,5/24/2024 10:39:41 AM,-,4/29/2022 6:00:00 PM
San Benito,58,PPB,3,5/24/2024 10:39:41 AM,-,4/29/2022 2:00:00 PM
San Benito,51,PPB,3,5/24/2024 10:39:41 AM,-,4/29/2022 10:00:00 AM
San Benito,22,PPB,3,5/24/2024 10:39:41 AM,-,4/29/2022 6:00:00 AM
San Benito,19,PPB,3,5/24/2024 10:39:41 AM,-,4/29/2022 4:00:00 AM
San Benito,36,PPB,3,5/24/2024 10:39:41 AM,-,4/28/2022 3:00:00 AM
San Benito,55,PPB,3,5/24/2024 10:39:41 AM,-,4/27/2022 12:00:00 PM
San Benito,25,PPB,3,5/24/2024 10:39:41 AM,-,4/27/2022 7:00:00 AM
San Benito,16,PPB,3,5/24/2024 10:39:41 AM,-,4/27/2022 2:00:00 AM
San Benito,20,PPB,3,5/24/2024 10:39:41 AM,-,4/27/2022 12:00:00 AM
San Benito,24,PPB,3,5/24/2024 10:39:41 AM,-,4/26/2022 11:00:00 PM
San Bernardino,79,PPB,3,6/28/2022 3:11:51 PM,-,4/26/2022 12:00:00 PM
Tulare,13,PPB,3,6/28/2022 3:11:51 PM,-,4/22/2022 11:00:00 PM
Shasta,43,PPB,3,6/28/2022 3:11:51 PM,-,4/22/2022 3:00:00 AM
Shasta,34,PPB,3,6/28/2022 3:11:51 PM,-,4/22/2022 1:00:00 AM
San Bernardino,38,PPB,3,6/28/2022 3:11:51 PM,-,4/16/2022 6:00:00 AM
Shasta,41,PPB,3,6/28/2022 3:11:51 PM,-,4/15/2022 10:00:00 PM
Mariposa,24,PPB,3,6/28/2022 3:11:51 PM,-,4/15/2022 8:00:00 AM
Tulare,14,PPB,3,6/28/2022 3:11:51 PM,-,4/12/2022 5:00
San Benito,69,PPB,3,6/28/2022 3:11:51 PM,-,4/8/2022 16:00
Tulare,70,PPB,3,6/28/2022 3:11:51 PM,-,4/8/2022 15:00
San Benito,64,PPB,3,6/28/2022 3:11:51 PM,-,4/8/2022 13:00
San Benito,63,PPB,3,6/28/2022 3:11:51 PM,-,4/8/2022 12:00
San Benito,60,PPB,3,6/28/2022 3:11:51 PM,-,4/8/2022 11:00
San Benito,58,PPB,3,6/28/2022 3:11:51 PM,-,4/7/2022 15:00
San Bernardino,36,PPB,3,6/28/2022 3:11:51 PM,-,4/6/2022 0:00
San Bernardino,35,PPB,3,6/28/2022 3:11:51 PM,-,4/5/2022 23:00
San Benito,3,PPB,3,6/28/2022 3:11:51 PM,-,4/1/2022 4:00
Tulare,8,PPB,3,5/20/2022 3:18:43 PM,-,3/31/2022 6:00:00 AM
San Benito,2,PPB,3,5/20/2022 3:18:43 PM,-,3/31/2022 5:00:00 AM
Tulare,7,PPB,3,5/20/2022 3:18:43 PM,-,3/31/2022 5:00:00 AM
Mariposa,22,PPB,3,5/20/2022 3:18:43 PM,-,3/30/2022 1:00:00 AM
Mariposa,24,PPB,3,5/20/2022 3:18:43 PM,-,3/29/2022 10:00:00 PM
Mariposa,58,PPB,3,5/20/2022 3:18:43 PM,-,3/26/2022 5:00:00 PM
Tulare,66,PPB,3,5/20/2022 3:18:43 PM,-,3/26/2022 4:00:00 PM
San Benito,62,PPB,3,5/20/2022 3:18:43 PM,-,3/26/2022 3:00:00 PM
San Benito,63,PPB,3,5/20/2022 3:18:43 PM,-,3/26/2022 2:00:00 PM
San Benito,60,PPB,3,5/20/2022 3:18:43 PM,-,3/26/2022 1:00:00 PM
Tulare,61,PPB,3,5/20/2022 3:18:43 PM,-,3/26/2022 1:00:00 PM
San Benito,58,PPB,3,5/20/2022 3:18:43 PM,-,3/26/2022 12:00:00 PM
San Benito,56,PPB,3,5/20/2022 3:18:43 PM,-,3/25/2022 3:00:00 PM
Tulare,54,PPB,3,5/20/2022 3:18:43 PM,-,3/24/2022 3:00:00 PM
