COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,YEAR,Ca,Cl,HNO3,HNO3 PPB,K,Mg,Na,NH4,NO3,SO2,SO2 PPB,SO4,TNO3,Ozone
Mariposa,2017-2018,Age groups,65+ years,14.0,(5.9-22.2),2017,0.13988,0.022099999999999998,0.52172,0.2024,0.08452,0.02918,0.09008,0.2659,0.35696,0.39299999999999996,0.14998,0.6064,0.87042,44.170281995661604
Mariposa,2017-2018,Age groups,65+ years,14.0,(5.9-22.2),2018,0.2785,0.03647916666666667,0.5422083333333333,0.210375,0.146375,0.0473125,0.11,0.32277083333333334,0.6378333333333334,0.4359583333333333,0.16641666666666666,0.5996041666666666,1.1712708333333335,68.73333333333333
San Bernardino,2017-2018,Age groups,65+ years,10.0,(3.6-16.3),2017,0.29817307692307693,0.05926923076923077,1.206923076923077,0.46826923076923077,0.06476923076923077,0.050576923076923075,0.20400000000000001,0.24682692307692308,0.6212884615384616,0.4401538461538462,0.168,0.7210769230769232,1.809,54.416938110749186
San Bernardino,2017-2018,Age groups,65+ years,10.0,(3.6-16.3),2018,0.3698571428571429,0.09575510204081633,1.2597142857142858,0.4887551020408163,0.06387755102040817,0.06479591836734694,0.2582244897959184,0.23142857142857143,0.7891224489795918,0.33353061224489794,0.1273265306122449,0.7303673469387756,2.0288163265306123,59.82222222222222
Shasta,2017-2018,Age groups,65+ years,6.3,(1.8-10.8),2017,0.05266666666666667,0.02052941176470588,0.24245098039215687,0.09409803921568628,0.03476470588235294,0.013019607843137255,0.04856862745098039,0.12811764705882353,0.11980392156862746,0.2406470588235294,0.09180392156862746,0.2931372549019608,0.3583529411764706,43.41943127962085
Shasta,2017-2018,Age groups,65+ years,6.3,(1.8-10.8),2018,0.09038297872340426,0.026085106382978722,0.25738297872340427,0.09985106382978723,0.06406382978723404,0.019617021276595745,0.06142553191489362,0.1652340425531915,0.19774468085106384,0.20268085106382977,0.07736170212765958,0.31470212765957445,0.45095744680851063,51.275862068965516
Mariposa,2019-2020,Total population,All ages,6.9,(4.1-9.7),2019,0.1066595744680851,0.024872340425531915,0.4853191489361702,0.18829787234042553,0.04778723404255319,0.028808510638297875,0.09434042553191489,0.21259574468085105,0.30025531914893616,0.305,0.1164255319148936,0.5402340425531914,0.777872340425532,59.76470588235294
Mariposa,2019-2020,Total population,All ages,6.9,(4.1-9.7),2020,0.22951923076923078,0.034923076923076925,0.5370192307692307,0.20834615384615385,0.12242307692307691,0.03967307692307693,0.09526923076923076,0.33344230769230765,0.5495192307692307,0.36738461538461537,0.14013461538461539,0.57875,1.077923076923077,65.03846153846153
San Benito,2019-2020,Total population,All ages,10.9,(3.3-18.4),2019,0.1404468085106383,0.5073829787234043,0.372063829787234,0.14446808510638298,0.06938297872340425,0.08263829787234042,0.5138085106382979,0.15106382978723404,0.6130425531914894,0.23651063829787233,0.09025531914893617,0.6744255319148936,0.979127659574468,45.833333333333336
San Benito,2019-2020,Total population,All ages,10.9,(3.3-18.4),2020,0.25116,0.45454,0.46472,0.18032,0.10676000000000001,0.09038,0.49612,0.18004,0.66322,0.28464,0.10859999999999999,0.76934,1.12046,39.45454545454545
