County Name,Year,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,Avg PM10
Marin,2017,Total population,All ages,14.1,(5.5-22.7),16.696428571428573
Mariposa,2017,Total population,All ages,18.6,(8.5-28.7),23.002923976608187
Mendocino,2017,Total population,All ages,13.5,(6.1-21.0),12.610951008645532
Merced,2017,Total population,All ages,13.9,(6.0-21.8),34.728813559322035
Mono,2017,Total population,All ages,18.6,(8.5-28.7),21.473972602739725
Monterey,2017,Total population,All ages,13.7,(7.1-20.3),28.634349030470915
Orange,2017,Total population,All ages,11.9,(9.0-14.8),26.74774774774775
Placer,2017,Total population,All ages,16.0,(9.1-22.8),15.363372093023257
Riverside,2017,Total population,All ages,15.7,(9.6-21.7),43.30958904109589
Sacramento,2017,Total population,All ages,20.2,(15.2-25.1),21.797142857142855
San Benito,2017,Total population,All ages,15.0,(0.1-29.8),18.924418604651162
San Bernardino,2017,Total population,All ages,15.4,(11.9-19.0),25.175342465753424
San Diego,2017,Total population,All ages,14.6,(12.2-16.9),22.16030534351145
San Francisco,2017,Total population,All ages,12.7,(8.0-17.5),20.9
San Joaquin,2017,Total population,All ages,22.8,(15.4-30.3),28.747945205479454
San Luis Obispo,2017,Total population,All ages,13.0,(7.2-18.8),21.435616438356163
Santa Barbara,2017,Total population,All ages,15.2,(3.7-26.7),23.421917808219177
Santa Clara,2017,Total population,All ages,14.8,(11.5-18.1),20.62962962962963
Shasta,2017,Total population,All ages,12.6,(6.5-18.7),15.46031746031746
Solano,2017,Total population,All ages,22.6,(11.0-34.1),17.4
Sonoma,2017,Total population,All ages,18.0,(8.9-27.1),13.331506849315069
Stanislaus,2017,Total population,All ages,17.1,(9.1-25.1),29.6536312849162
Sutter,2017,Total population,All ages,25.3,(14.6-36.0),20.687671232876713
Tehama,2017,Total population,All ages,14.9,(7.6-22.1),19.5
Tulare,2017,Total population,All ages,20.1,(8.7-31.5),46.315186246418335
Ventura,2017,Total population,All ages,11.9,(7.8-16.1),24.495890410958904
Yolo,2017,Total population,All ages,19.4,(9.5-29.3),21.09722222222222
Fresno,2017,Child vs. adult,0-17 years,18.0,(3.3-32.8),38.36164383561644
Kings,2017,Child vs. adult,0-17 years,27.3,(4.6-50.1),52.90958904109589
Los Angeles,2017,Child vs. adult,0-17 years,14.8,(10.2-19.3),31.767123287671232
Orange,2017,Child vs. adult,0-17 years,10.4,(2.2-18.5),26.74774774774775
Riverside,2017,Child vs. adult,0-17 years,16.1,(7.6-24.5),43.30958904109589
Sacramento,2017,Child vs. adult,0-17 years,14.2,(2.9-25.6),21.797142857142855
San Bernardino,2017,Child vs. adult,0-17 years,13.9,(2.3-25.4),25.175342465753424
